[16-04-2015 10:36:47]:[ControllerRol][getRolById]:-id:3
[16-04-2015 10:37:37]:[ControllerRol][getRolById]:-id:3
[16-04-2015 10:37:37]:[ControllerRol][getRolById]:-id:3
[16-04-2015 10:37:45]:[ControllerRol][getRolById]:-id:7
[16-04-2015 10:37:51]:[ControllerRol][getRolById]:-id:7
[16-04-2015 10:39:00]:[ControllerRol][getRolById]:Buscando id:7
[16-04-2015 10:40:30]:[ControllerRol][getRolById]:Buscando id:7
[16-04-2015 10:40:37]:[ControllerRol][getRolById]:Buscando id:3
[16-04-2015 10:40:37]:[ControllerRol][getRolById]:Encontro id:3
[16-04-2015 10:40:37]:[ControllerRol][getRolById]:Exito3
[16-04-2015 10:41:05]:[ControllerRol][getRolById]:Buscando id:4
[16-04-2015 10:41:05]:[ControllerRol][getRolById]:Encontro id:4
[16-04-2015 10:41:05]:[ControllerRol][getRolById]:Exito    id:4
[17-04-2015 08:03:10]:[ControllerRol][getRolById]:Buscando id:4
[17-04-2015 08:03:10]:[ControllerRol][getRolById]:Encontro id:4
[17-04-2015 08:03:10]:[ControllerRol][getRolById]:Exito    id:4
[17-04-2015 08:04:26]:[ControllerRol][getRolById]:Buscando id:4
[17-04-2015 08:04:26]:[ControllerRol][getRolById]:Encontro id:4
[17-04-2015 08:04:26]:[ControllerRol][getRolById]:Exito    id:4
[17-04-2015 08:06:49]:[ControllerRol][getRolById]:Buscando id:4
[17-04-2015 08:06:49]:[ControllerRol][getRolById]:Encontro id:4
[17-04-2015 08:06:49]:[ControllerRol][getRolById]:Exito    id:4
[17-04-2015 08:06:55]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:00]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:02]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:03]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:03]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:03]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:07:03]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:09:46]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:09:47]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:09:47]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:09:51]:[ControllerRol][getRolById]:Buscando id:3
[17-04-2015 08:09:51]:[ControllerRol][getRolById]:Encontro id:3
[17-04-2015 08:09:51]:[ControllerRol][getRolById]:Exito    id:3
[17-04-2015 08:12:05]:[ControllerRol][getRolById]:Buscando id:3
[17-04-2015 08:12:05]:[ControllerRol][getRolById]:Encontro id:3
[17-04-2015 08:12:05]:[ControllerRol][getRolById]:Exito    id:3
[17-04-2015 08:12:09]:[ControllerRol][getRolById]:Buscando id:8
[17-04-2015 08:12:35]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:12:35]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:12:35]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:33:22]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:33:22]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:33:22]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:33:22]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:33:52]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:33:52]:[ControllerRol][getRolById]:Buscando id:1
